instance,seed,status,problem,problemSize,solver
inst-130-1-306660713,77,solution-found,meb,normal,lnseb
inst-47-1-306660713,33,solution-found,meb,normal,lnseb
inst-83-1-306660713,11,solution-found,meb,normal,lnseb
inst-130-1-306660713,88,solution-found,meb,normal,lnseb
inst-121-1-306660713,44,solution-found,meb,normal,lnseb
inst-45-1-306660713,11,solution-found,meb,normal,lnseb
inst-2-1-306660713,44,solution-found,meb,normal,lnseb
inst-149-1-306660713,22,solution-found,meb,normal,lnseb
inst-85-1-306660713,88,solution-found,meb,normal,lnseb
inst-155-1-306660713,11,solution-found,meb,normal,lnseb
inst-136-1-306660713,11,solution-found,meb,normal,lnseb
inst-31-1-306660713,44,solution-found,meb,normal,lnseb
inst-85-1-306660713,77,solution-found,meb,normal,lnseb
inst-43-1-306660713,77,solution-found,meb,normal,lnseb
inst-87-1-306660713,55,solution-found,meb,normal,lnseb
inst-88-1-306660713,88,solution-found,meb,normal,lnseb
inst-127-1-306660713,22,solution-found,meb,normal,lnseb
inst-43-1-306660713,88,solution-found,meb,normal,lnseb
inst-88-1-306660713,77,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-4",88,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-4",77,solution-found,meb,normal,lnseb
inst-131-1-306660713,44,solution-found,meb,normal,lnseb
inst-82-1-306660713,22,solution-found,meb,normal,lnseb
inst-150-1-306660713,99,solution-found,meb,normal,lnseb
inst-44-1-306660713,22,solution-found,meb,normal,lnseb
inst-3-1-306660713,77,solution-found,meb,normal,lnseb
inst-27-1-306660713,22,solution-found,meb,normal,lnseb
inst-3-1-306660713,88,solution-found,meb,normal,lnseb
inst-150-1-306660713,66,solution-found,meb,normal,lnseb
inst-98-1-306660713,77,solution-found,meb,normal,lnseb
inst-53-1-306660713,88,solution-found,meb,normal,lnseb
inst-40-1-306660713,66,solution-found,meb,normal,lnseb
inst-84-1-306660713,44,solution-found,meb,normal,lnseb
inst-128-1-306660713,1010,solution-found,meb,normal,lnseb
inst-124-1-306660713,33,solution-found,meb,normal,lnseb
inst-40-1-306660713,99,solution-found,meb,normal,lnseb
inst-97-1-306660713,55,solution-found,meb,normal,lnseb
inst-98-1-306660713,88,solution-found,meb,normal,lnseb
inst-53-1-306660713,77,solution-found,meb,normal,lnseb
inst-126-1-306660713,11,solution-found,meb,normal,lnseb
inst-21-1-306660713,44,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-8",88,solution-found,meb,normal,lnseb
"meb-200-60-200-3,6-1",22,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-6",99,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-6",66,solution-found,meb,normal,lnseb
inst-129-1-306660713,33,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-8",77,solution-found,meb,normal,lnseb
inst-5-1-306660713,11,solution-found,meb,normal,lnseb
inst-13-1-306660713,66,solution-found,meb,normal,lnseb
inst-114-1-306660713,33,solution-found,meb,normal,lnseb
inst-13-1-306660713,99,solution-found,meb,normal,lnseb
inst-127-1-306660713,1010,solution-found,meb,normal,lnseb
inst-65-1-306660713,11,solution-found,meb,normal,lnseb
inst-103-1-306660713,99,solution-found,meb,normal,lnseb
inst-103-1-306660713,66,solution-found,meb,normal,lnseb
inst-12-1-306660713,55,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-3",55,solution-found,meb,normal,lnseb
inst-60-1-306660713,66,solution-found,meb,normal,lnseb
inst-10-1-306660713,77,solution-found,meb,normal,lnseb
inst-117-1-306660713,22,solution-found,meb,normal,lnseb
inst-10-1-306660713,88,solution-found,meb,normal,lnseb
inst-60-1-306660713,99,solution-found,meb,normal,lnseb
inst-64-1-306660713,22,solution-found,meb,normal,lnseb
inst-78-1-306660713,11,solution-found,meb,normal,lnseb
inst-77-1-306660713,33,solution-found,meb,normal,lnseb
inst-16-1-306660713,11,solution-found,meb,normal,lnseb
inst-130-1-306660713,1010,solution-found,meb,normal,lnseb
inst-47-1-306660713,1010,solution-found,meb,normal,lnseb
inst-114-1-306660713,22,solution-found,meb,normal,lnseb
inst-13-1-306660713,77,solution-found,meb,normal,lnseb
inst-149-1-306660713,1010,solution-found,meb,normal,lnseb
inst-3-1-306660713,1010,solution-found,meb,normal,lnseb
inst-13-1-306660713,88,solution-found,meb,normal,lnseb
inst-76-1-306660713,11,solution-found,meb,normal,lnseb
inst-103-1-306660713,88,solution-found,meb,normal,lnseb
inst-103-1-306660713,77,solution-found,meb,normal,lnseb
inst-12-1-306660713,44,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-3",44,solution-found,meb,normal,lnseb
meb-inst-20-01,1010,solution-found,meb,normal,lnseb
inst-117-1-306660713,33,solution-found,meb,normal,lnseb
inst-10-1-306660713,66,solution-found,meb,normal,lnseb
inst-60-1-306660713,77,solution-found,meb,normal,lnseb
inst-60-1-306660713,88,solution-found,meb,normal,lnseb
inst-135-1-306660713,1010,solution-found,meb,normal,lnseb
inst-118-1-306660713,11,solution-found,meb,normal,lnseb
inst-10-1-306660713,99,solution-found,meb,normal,lnseb
meb-inst-20-01,11,solution-found,meb,normal,lnseb
inst-64-1-306660713,33,solution-found,meb,normal,lnseb
inst-77-1-306660713,22,solution-found,meb,normal,lnseb
inst-47-1-306660713,22,solution-found,meb,normal,lnseb
inst-130-1-306660713,66,solution-found,meb,normal,lnseb
inst-130-1-306660713,99,solution-found,meb,normal,lnseb
inst-121-1-306660713,55,solution-found,meb,normal,lnseb
inst-2-1-306660713,55,solution-found,meb,normal,lnseb
inst-85-1-306660713,99,solution-found,meb,normal,lnseb
inst-149-1-306660713,33,solution-found,meb,normal,lnseb
inst-85-1-306660713,66,solution-found,meb,normal,lnseb
inst-146-1-306660713,11,solution-found,meb,normal,lnseb
inst-31-1-306660713,55,solution-found,meb,normal,lnseb
inst-88-1-306660713,99,solution-found,meb,normal,lnseb
inst-87-1-306660713,44,solution-found,meb,normal,lnseb
inst-128-1-306660713,11,solution-found,meb,normal,lnseb
inst-43-1-306660713,66,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-6",1010,solution-found,meb,normal,lnseb
inst-88-1-306660713,66,solution-found,meb,normal,lnseb
inst-127-1-306660713,33,solution-found,meb,normal,lnseb
inst-43-1-306660713,99,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-4",99,solution-found,meb,normal,lnseb
inst-83-1-306660713,1010,solution-found,meb,normal,lnseb
inst-25-1-306660713,11,solution-found,meb,normal,lnseb
inst-82-1-306660713,33,solution-found,meb,normal,lnseb
inst-131-1-306660713,55,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-4",66,solution-found,meb,normal,lnseb
inst-3-1-306660713,66,solution-found,meb,normal,lnseb
inst-44-1-306660713,33,solution-found,meb,normal,lnseb
inst-150-1-306660713,88,solution-found,meb,normal,lnseb
inst-150-1-306660713,77,solution-found,meb,normal,lnseb
inst-3-1-306660713,99,solution-found,meb,normal,lnseb
inst-27-1-306660713,33,solution-found,meb,normal,lnseb
inst-84-1-306660713,55,solution-found,meb,normal,lnseb
inst-40-1-306660713,77,solution-found,meb,normal,lnseb
inst-53-1-306660713,99,solution-found,meb,normal,lnseb
inst-146-1-306660713,1010,solution-found,meb,normal,lnseb
inst-31-1-306660713,1010,solution-found,meb,normal,lnseb
inst-98-1-306660713,66,solution-found,meb,normal,lnseb
inst-53-1-306660713,66,solution-found,meb,normal,lnseb
inst-138-1-306660713,11,solution-found,meb,normal,lnseb
inst-98-1-306660713,99,solution-found,meb,normal,lnseb
inst-97-1-306660713,44,solution-found,meb,normal,lnseb
inst-124-1-306660713,22,solution-found,meb,normal,lnseb
inst-40-1-306660713,88,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-6",88,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-8",99,solution-found,meb,normal,lnseb
"meb-200-60-200-3,6-1",33,solution-found,meb,normal,lnseb
inst-21-1-306660713,55,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-8",66,solution-found,meb,normal,lnseb
inst-129-1-306660713,22,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-6",77,solution-found,meb,normal,lnseb
inst-135-1-306660713,11,solution-found,meb,normal,lnseb
inst-83-1-306660713,66,solution-found,meb,normal,lnseb
inst-47-1-306660713,44,solution-found,meb,normal,lnseb
inst-83-1-306660713,99,solution-found,meb,normal,lnseb
inst-121-1-306660713,33,solution-found,meb,normal,lnseb
inst-10-1-306660713,1010,solution-found,meb,normal,lnseb
inst-45-1-306660713,99,solution-found,meb,normal,lnseb
inst-2-1-306660713,33,solution-found,meb,normal,lnseb
inst-45-1-306660713,66,solution-found,meb,normal,lnseb
inst-146-1-306660713,88,solution-found,meb,normal,lnseb
inst-149-1-306660713,55,solution-found,meb,normal,lnseb
inst-155-1-306660713,66,solution-found,meb,normal,lnseb
inst-136-1-306660713,99,solution-found,meb,normal,lnseb
inst-155-1-306660713,99,solution-found,meb,normal,lnseb
inst-136-1-306660713,66,solution-found,meb,normal,lnseb
inst-31-1-306660713,33,solution-found,meb,normal,lnseb
inst-146-1-306660713,77,solution-found,meb,normal,lnseb
inst-126-1-306660713,1010,solution-found,meb,normal,lnseb
inst-87-1-306660713,22,solution-found,meb,normal,lnseb
inst-128-1-306660713,77,solution-found,meb,normal,lnseb
inst-128-1-306660713,88,solution-found,meb,normal,lnseb
inst-127-1-306660713,55,solution-found,meb,normal,lnseb
inst-25-1-306660713,77,solution-found,meb,normal,lnseb
"meb-200-60-200-3,6-1",1010,solution-found,meb,normal,lnseb
inst-131-1-306660713,33,solution-found,meb,normal,lnseb
inst-82-1-306660713,55,solution-found,meb,normal,lnseb
inst-25-1-306660713,88,solution-found,meb,normal,lnseb
inst-44-1-306660713,55,solution-found,meb,normal,lnseb
inst-27-1-306660713,55,solution-found,meb,normal,lnseb
inst-150-1-306660713,11,solver-timeout,meb,normal,lnseb
inst-138-1-306660713,88,solution-found,meb,normal,lnseb
inst-84-1-306660713,33,solution-found,meb,normal,lnseb
inst-40-1-306660713,11,solution-found,meb,normal,lnseb
inst-124-1-306660713,44,solution-found,meb,normal,lnseb
inst-138-1-306660713,77,solution-found,meb,normal,lnseb
inst-97-1-306660713,22,solution-found,meb,normal,lnseb
inst-5-1-306660713,99,solution-found,meb,normal,lnseb
"meb-200-60-200-3,6-1",55,solution-found,meb,normal,lnseb
inst-126-1-306660713,66,solution-found,meb,normal,lnseb
inst-21-1-306660713,33,solution-found,meb,normal,lnseb
inst-135-1-306660713,88,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-6",11,solution-found,meb,normal,lnseb
inst-135-1-306660713,77,solution-found,meb,normal,lnseb
inst-5-1-306660713,66,solution-found,meb,normal,lnseb
inst-126-1-306660713,99,solution-found,meb,normal,lnseb
inst-129-1-306660713,44,solution-found,meb,normal,lnseb
inst-13-1-306660713,11,solution-found,meb,normal,lnseb
inst-114-1-306660713,44,solution-found,meb,normal,lnseb
inst-155-1-306660713,1010,solution-found,meb,normal,lnseb
inst-76-1-306660713,77,solution-found,meb,normal,lnseb
inst-65-1-306660713,99,solution-found,meb,normal,lnseb
inst-65-1-306660713,66,solution-found,meb,normal,lnseb
inst-114-1-306660713,1010,solution-found,meb,normal,lnseb
inst-76-1-306660713,88,solution-found,meb,normal,lnseb
inst-103-1-306660713,11,solution-found,meb,normal,lnseb
inst-12-1-306660713,22,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-3",22,solution-found,meb,normal,lnseb
inst-129-1-306660713,1010,solution-found,meb,normal,lnseb
inst-60-1-306660713,11,solution-found,meb,normal,lnseb
inst-27-1-306660713,1010,solution-found,meb,normal,lnseb
inst-118-1-306660713,88,solution-found,meb,normal,lnseb
inst-117-1-306660713,55,solution-found,meb,normal,lnseb
inst-150-1-306660713,1010,solution-found,meb,normal,lnseb
inst-118-1-306660713,77,solution-found,meb,normal,lnseb
inst-64-1-306660713,55,solution-found,meb,normal,lnseb
inst-78-1-306660713,66,solution-found,meb,normal,lnseb
meb-inst-20-01,77,solution-found,meb,normal,lnseb
inst-77-1-306660713,44,solution-found,meb,normal,lnseb
inst-78-1-306660713,99,solution-found,meb,normal,lnseb
meb-inst-20-01,88,solution-found,meb,normal,lnseb
inst-16-1-306660713,99,solution-found,meb,normal,lnseb
inst-16-1-306660713,66,solution-found,meb,normal,lnseb
inst-114-1-306660713,55,solution-found,meb,normal,lnseb
inst-103-1-306660713,1010,solution-found,meb,normal,lnseb
inst-87-1-306660713,1010,solution-found,meb,normal,lnseb
inst-65-1-306660713,88,solution-found,meb,normal,lnseb
inst-76-1-306660713,66,solution-found,meb,normal,lnseb
inst-76-1-306660713,99,solution-found,meb,normal,lnseb
inst-65-1-306660713,77,solution-found,meb,normal,lnseb
inst-12-1-306660713,33,solution-found,meb,normal,lnseb
"meb-200-50-200-3,6-3",33,solution-found,meb,normal,lnseb
inst-117-1-306660713,44,solution-found,meb,normal,lnseb
inst-10-1-306660713,11,solution-found,meb,normal,lnseb
inst-118-1-306660713,99,solution-found,meb,normal,lnseb
inst-118-1-306660713,66,solution-found,meb,normal,lnseb
inst-78-1-306660713,77,solution-found,meb,normal,lnseb
meb-inst-20-01,66,solution-found,meb,normal,lnseb
inst-64-1-306660713,44,solution-found,meb,normal,lnseb
inst-78-1-306660713,88,solution-found,meb,normal,lnseb
inst-77-1-306660713,55,solution-found,meb,normal,lnseb
meb-inst-20-01,99,solution-found,meb,normal,lnseb
inst-16-1-306660713,88,solution-found,meb,normal,lnseb
inst-16-1-306660713,77,solution-found,meb,normal,lnseb
inst-82-1-306660713,1010,solution-found,meb,normal,lnseb
inst-47-1-306660713,55,solution-found,meb,normal,lnseb
inst-83-1-306660713,77,solution-found,meb,normal,lnseb
inst-130-1-306660713,11,solution-found,meb,normal,lnseb
inst-83-1-306660713,88,solution-found,meb,normal,lnseb
inst-121-1-306660713,22,solution-found,meb,normal,lnseb
inst-45-1-306660713,88,solution-found,meb,normal,lnseb
inst-45-1-306660713,77,solution-found,meb,normal,lnseb
inst-2-1-306660713,22,solution-found,meb,normal,lnseb
inst-155-1-306660713,77,solution-found,meb,normal,lnseb
inst-136-1-306660713,88,solution-found,meb,normal,lnseb
inst-149-1-306660713,44,solution-found,meb,normal,lnseb
inst-146-1-306660713,99,solution-found,meb,normal,lnseb
inst-146-1-306660713,66,solution-found,meb,normal,lnseb
inst-85-1-306660713,11,solution-found,meb,normal,lnseb
inst-155-1-306660713,88,solution-found,meb,normal,lnseb
inst-31-1-306660713,22,solution-found,meb,normal,lnseb
inst-136-1-306660713,77,solution-found,meb,normal,lnseb
inst-128-1-306660713,66,solution-found,meb,normal,lnseb
